review_text_clean,sentimen
tolong diprpses nosku,netral
gimana msh gak login,negatif
aplikasi dana buruk transaksi luar kendali kali alami saldo sedot tiktok campur tangan kendali hasil saldo hilang,negatif
ok transfer uang tpi sayang fitur dana instan,positif
ok terima kasih,positif
dana aplikasi buruk kartu hilang gak masuk akun dana susah mnerima kode otp suruh beli kartu blom daftar dana sudaj beli kartu tpi ai suruh nunggu lapor tpi ganti nomor pindah saldo blom selesai saldo hilang hadeh tangan nya lambat,negatif
unduh versi udah ulang ulang download coba login ttp gk boro boro dapet notif kode muter muter apk buruk,negatif
aplikasi bagus terimakasih dana,positif
limit cm tarik aj boong gak nunggak telat bayar gk kasih limit gede tp tari cm,negatif
lunas tagih dana cicil trus bayar lunas,netral
dana ku kosong,netral
aktif dana instan nya,positif
diaktifka n gk kaya aplikasi belah gak ribet nomer hilang login yg ktp wajah orang bolak chat cs tetep gak aneh banget komplain apaka pin nomer kasih tetep gak,negatif
pake dana bantu pake data buka aplikasi,netral
singkat padat gw pake top up tambah murah,positif
mudah cepat ribet,positif
mudah cepat transaksi,positif
akun muncul dana cicil,netral
limit dana cicil segitu gitu aja bayar,netral
dana cicil buka megeg aja yak,netral
duit kirim dana terima pikir pakai dana percaya e wallet jelek playstore,negatif
aplikasi nya bagus sih uang hilang aplikasi rp mohon kembali uang yg hilang karna transaksi uang hilang,negatif
kasi bintang karna pakai apk dana habis baru kecewa tarik tunai nongol gambar nomer dn tulis jala tutup,negatif
dana premium basic upload ulang ktp nomer gk kenal lapor ribet ktp loh ayo iya dana gak solusi takut ktp pinjol judol tolong jamin aman adamain,netral
good bank ewallet,netral
aplikasi top banget sayang dalam apk fitur dana goals simpan tidakbisa tarik sungguh kecewa,netral
dana cicil d pakai,netral
pake dana mantap,positif
ngak login akun dana njir,netral
biar gampang bayar,positif
ko ga login ya,negatif
akun limit dana cicil tagih udah lunas limit gak pakai buruk aplikasi nya,negatif
enak transfer bank,netral
transaksi cepet cepat kilat,positif
tarik uang kaya dana premium,positif
dana emang ok tp kendala tlat byr dana cicil gk d pakai,positif
hidup hidup dana,netral
hai kk pindah akun tpi gagal tolong bantu kk akun yg g masuk nonya hilang,negatif
dana tololl bikin ribet verifikasi mukaa muluu nyusahin orang tau gak gimana nasib yg pake ktp orang udah gak coba tolong deh hilang aja verifikasi wajah tuh gak tau gak,negatif
biaya admin nya mahal ya,netral
hallo hr transaksi ya terang nya transaksi maksud gimana ya butuh cepat transfer uang,positif
trima kasih bantu aplikasi dana,netral
tolong benerin aplikasi nya bug ganti nomer hp tulis ups kendala proses,negatif
apk bobrok jelek bgt ga saldo hilang aplikasi curi,negatif
dana cicil dana,netral
ok sagan bantu,positif
hubung layan nya kmna boskuh knapa dana instan nya ga d tarik ganggu aja kecewa banget,negatif
ngga lagih dana cicil yah udh informasi live chet tetep ajh ngga jelas ngga kesini ngga jlas dana,netral
moga ttp mnjaga kualitas aman,positif
puas bagus respon cepat,positif
dana eror terimakasih tolong baik,netral
cepat mudah murah bank mana gratis,positif
aplikasi yg guna,netral
sayaa sangatt puass,netral
transaksi potong dana ga bagus,negatif
trimakasih dana makasih banyan pokok mantap kirim,positif
kena tipu hacking smartphone jarak hilang saldo dana idr lapor dana kembali uang bukti lapor polisi aman save uang dana pakai kode sandi kode pin sidik jari jebol,netral
uang gua udah x hilang d udah d laporin dana ngk respon transaksi tiktok pay later tahu saldo k potong dm gua d ig ngk d balas ya min,negatif
bantu banget tpi sayang nampil dana cicil,netral
bantu terimakasih kasih bintang m,netral
symh udh make aplikasi dana knph dana cicil ga muncul,negatif
bantu apk tpi tida d baharu,netral
mantap bos ku,positif
bantu aplikasi dana,netral
says sanagat kecewa aplikasi dana saysaya buka dompet says ngga karna nomor tidal aktip jawab muter muter mulu maya orang bego koplok bener bener kecewa saldo ngga bisaa tarik bisaa katakana hilang,negatif
uang hilang kemarin jt malam jt sengaja gua kasih bintang liat,negatif
lapor otp kirim email kenal solusi masuk akun dana nomor aktif alih whatsapp gubris,netral
kasih bintang dlu fitur dana cicil muncul muncul aktif transaksi dana dana premium,positif
plis sulit login akun,negatif
apk buruk nomer customers servis nya tejadi kendala gak cari solusi,negatif
moga paylater nya,positif
muncul dana instan,positif
oke kirim uang,positif
nyaman setela memmaki dana,netral
ga rispek bintang potong mulu saldo,negatif
terima kasih apk dana sdh aktip kmbali moga kdepan nya lbh ok lgi,positif
tolong aktif fitur dana instan kak,positif
bagus sayang fitur dana cicil dana instan,positif
dana apk cocok tuk brbsnis,netral
jelek suka lgsg sedot klo naro uang jelas alesannya google langgan pdhl gada samsek ga amanah pindah apk aja nyesel uda premium in,positif
bagus apk ny,positif
bantu mudah transaksi,positif
kecewa dana apk dana ga buka saldo bagus apk,negatif
bantu transper mana sj,netral
mantap banget dhe,positif
aplikasi proteksi pindah login hp aja susah alas pemcahayaan udah luar ruang lol,negatif
mantap suka aplikasi,positif
pake apk duit ga ilang banget korban bobol duit gue aja ilang gila apk ga tanggung katany fitur refund uang persen ga gue bilang kaya gin cuman kasih tau aja hati hati dana tanggung gue kecewa banget woyy,negatif
tolong baik fitur qris bayar qris proses nya,netral
tolong dana baik lupa pin ganti pin saldo hilang nggk dana heker aja ambil orang dana aman bank yg nggk tolong baik salah akun lupa sandi masuk akun saldo hilang curi je,negatif
ga ribet kaya yg,negatif
najis fi kasih dana cicil gabisa pake,negatif
buruk bayak jadi hilang kurang kecewa,negatif
prihal fitur cicil udh muncul tp tdk d kaya nge bug gitu,negatif
apk dana percaya,netral
fitur dana instan,positif
jgan pakai aplikasi dana karna aplikasi aman ribu uang hilang akun login uda lapor help dana tanggapai,negatif
mudah cepat klo ngambil uang,positif
ga becus allah dana masuk akun bisnis aja banget stuck logo duit tarik ngechat admin sosmed responnya minggu dibales ngechat ana nama jga bot nanya hapus cache tetep gabisa nyoba logout aja gabisa ah anj kaya henti pake aplikasi kalo terus masalah asli takut duit ilang maling ama dana kalo gabisa jaga percaya konsumen lu hapus aja dana,negatif
mandiri tf dana sya ngga tolong bntuan ny,netral
heran aja knapa yg bsa pinjam dana ya,netral
eror data sesuai tidk upgrade premium,positif
kecewa banget dana ga belik data pulsa,negatif
login akun karna alas aman kirim email tanggap apa,positif
adain dana cicil min akun,netral
aplikasi fitur dana cicil muncul akun premium masuk fitur dana cicil stuck halaman kosong tolong dana baik,netral
isi saldo dana langsung potong,netral
kendala mulu ribet daftar premium,netral
sy kasih bintang aplikasi stlh update mlh susah masuk tdk bs buka,negatif
bantu butuh transaksi,netral
dompet digital dana mudah transaksi akses digital modern era milenial ili them for it s dana,positif
dlu yaa yg ntar nyusul,netral
guna ringan tranksaksi aman,positif
tolol bego x isi pulsa ga masuk tolol,negatif
pungguna dana muncul dana cicil kecewa bagi guna dana,negatif
tf belanja dll mantap,positif
upgrade dana premium susah babi kirim dana kawan ayah kirim dana aja biar mudah,positif
sebab dana cicil sedia laku min tolong,netral
batu cepat praktis,positif
pakai aplikasi dana tulis koneksi internet putus signal bagus,positif
bnyak fitur nya,netral
sangan bagus traksi gampang biaya administrasi,positif
btw aplikasi tolak scan barcode,netral
fitur dana cicil muncul,netral
dana jelek aja transaksi muncul opsi orang transaksi saat mepet cepat cepat kirim uang muncul tulis internet sambung internet mutar mutar ribet,netral
aplikasi kocak transaksi ribet bgt nunggu aplikasi nya sepi transaksi penuh,negatif
hilang saldo potong otomatis google capcut google bukti transaksi kait dana tanggung kecewa buka nominal rp,negatif
tmn pake nomor hp daftar akun dana knpa buka nya,netral
tolong aman dana premium bantu pandu yea,positif
cocok lupa bawa dompet,netral
bantu dana sulit rugi terima kasih atass admin yg apk dana,negatif
na brapa domlot gk msuk aplikasi internet mulu kselhan nya pdahal pket internet,netral
mah potong kalu top up pindah atm aja,positif
tf bank tdk dana kecewa,negatif
apk nya bagus transaksi trimakasih,positif
ganti no dana atw ubah akun,netral
guna u m k m,netral
klik kirim uang,netral
aplikasi yg bagus,positif
gagal gak tf orang,negatif
terimakasih aplikasi bantu usaha,netral
uwang nya hilang mu,negatif
bantu sayang fitus dana cicil sulit udah nggak pake hilang fiturnya,negatif
bagus mudah masalah uang mantap banget well,positif
dana apk gagal atas,negatif
akun dana tangguh tolong buka,netral
parah dana bagus cari dompet digital bagus nanya ana selesai nya nya pakai seabank bener,positif
dana cicil sedia lunas tagih ya tolong admin,netral
kecewa terus transaksi identitas lengkap fitur dana cicil muncul,negatif
ya pas bikin akun pake nomor ga bikin pin gagal mulu,negatif
assalamualaikum dana tnyak dana cicil sperti kah pinjam ribu hras bayar ribu gimna gk mohon tindak,netral
upgrade premium gagal,netral
aplikasi dana bantu uang,netral
mantabb gak ribet guna,negatif
masalh dana tang premium manual dutuh upgrade mumet,positif
gak bis narik alfa,negatif
ko dana ganggu iya,netral
transfer uang cepat mepermudah transaksi,positif
muas udah tf dnk masuk uang ku hangus,netral
pakai dana bayar aman cepat trimakasih dana percaya,positif
terima kasih e wallet bantu,netral
gal buka hp,netral
sial dana rewards gk saldo potong rewardsnya gk pakai topup kena cas blm kali ngk bangga in mudah gin aplikasi ngasih mudah transaksi beda gk potong biaya admin paham ngk admin ngehe,positif
gak aman saldo potong tampa tuju,netral
terima kasih karna aplikasi dana mudah transaksi digital,positif
dana cicil gak buka,negatif
dana cicil ga pakai tlong bantu dn oerbaruhi,negatif
mudah pakai pokok bantu,positif
aplikasi error iya tarik tunai kali klik kunjung muncul loading tampil tarik tolong baik sistem terima kasih,negatif
bagus upgrade premium perlu desak kirim uang dana upgrade tunggu tolong amanah,positif
mantap apk nya,positif
stelah update mlah ngga buka sampe hp restart ulang ngga yg salah aplikasi ap hp nya,netral
alhamdulilah aplikasi nya bantu,netral
dana instan blm kak moga dana beta update cepat,positif
pasti bantu aplikasi ock,netral
ko dana lot banget ya,netral
top up kartu mandiri e money masuk skrg duit kembali kecewa,positif
napa dana cicil syh blm aktip,netral
tingkat aman nya biar yg pake apk dana nyaman aman trima kasih,positif
kecewa dana knp bnyak bayar yg pasu kode pin rugi guna,negatif
ribet tarik uang upgrade premium gagal upgrade premium pilih paksa hambat transaksi hapus akun satu aplikasi sampah,negatif
bagus aman knpa aplikasi dana dana cicil mohon baik,positif
kecewa dana cicil ga pakai,negatif
knoa terima pitur dana cicil,netral
login pake otp pdhlkan udah nyalain facekeynyaa ga bget pas ganti no ga acc jugaa ga nih dana,negatif
info akun dana kalo pake paket data konek kalo pake wifi,netral
