review_text,rating
tolong diprpses nosku,5
sering ada kendala,2
aplikasinya kereeenn,5
gimana msh gak bisa juga login,1
bagus,5
mantep,5
mntap,4
bagus,5
bagus,5
sangat baik,5
saya kasih bintang 5,5
sangat cocok buat transaksi,5
"Aplikasi dana sangat buruk, selalu ada transaksi diluar kendali saya, saya sudah 2 kali mengalami hal seperti ini, saldo saya selalu disedot oleh tiktok dan tanpa campur tangan saya tanpa kendali saya,tiba tiba sudah berhasil saja dan saldo saya hilang.",1
"ok, bisa transfer uang tpi sayangnya tidak ada fitur dana instan",4
ok Terima kasih,5
sangat bermanfaat,5
lemot.,2
"DANA aplikasi terburuk kartu saya hilang gak bisa masuk akun dana karena susah m3nerima kode otp,saya di suruh beli kartu baru yang blom terdaftar di DANA,saya sudaj beli kartu tpi ai suruh nunggu lagi.ini sudah 3 hari saya buat laporan tpi masalah pergantian nomor dan pemindahan saldo blom selesai juga...jangan jangan saldo saya hilang hadeh penanganan nya lambat sekali",1
super,5
cepat sekali,5
sangat baguss,5
baik,5
teransaksi lebih cepat,5
Jangan diunduh versi sekarang udah berulang-ulang download dan coba login ttp gk bisa dan Boro-boro dapet notif kodenya cuma muter-muter apk terburuk..,1
aplikasi sangat bagus... terimakasih DANA,5
bagus,4
mantap,5
bagus,5
sangat membantu,5
muwantap👍👍👍👍👍👍👍,5
bagus,5
bagus,5
limit 600..cm bisa di tarik 400...sama.aj boong...padahal gak pernah nunggak..telat bayar...gk jelas ..kasih limit gede tp penarikan cm 20%,2
semakin mempermudah urusan saya,5
semuanya lebih mudah .,5
Bagusss,5
mantappp,5
sudah melunasi tagihan dana cicil trus setelah membayar lunas tidak biasa digunakan,1
Mantap,5
sangat bagus sekali,4
kenapa dana ku selalu kosong,3
aktif dana instan nya,5
kapan bisa diaktifka n gk kaya aplikasi sebelah gak ribet nomer hilang pun masih bisa login yg penting ktp sama wajah orangnya sama ini saya sudah bolak balik chat cs tetep saja gak bisa terus aneh banget komplain lagi ditanya apaka ingat pin atau nomer yang baru sudah dikasih tetep saja gak bisa,2
pake dana sangat membantu.tapi harus pake data terus.membuka aplikasinya,5
"singkat padat jelas selalu gw pake top up , ditambah murah",5
sangat bagus,3
mudah & cepat tanpa ribet,5
mudah dan cepat buat transaksi dan lain2,5
